sample_id,cluster_id
7,2
8,3
9,3
10,2
13,3
14,3
15,2
16,2
17,3
18,0
20,1
21,3
23,1
29,3
30,1
31,3
32,3
33,1
34,3
36,3
37,3
38,3
39,1
40,3
41,1
42,3
43,2
44,3
45,3
46,2
47,3
58,1
61,2
62,3
63,1
64,3
67,2
73,2
78,2
79,1
80,2
83,1
84,2
85,2
87,2
89,3
90,0
91,3
93,3
94,3
95,3
97,3
98,2
102,3
103,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,2
113,3
123,3
125,2
126,3
127,2
134,3
135,3
136,3
137,1
138,3
139,3
140,2
142,2
143,3
145,2
146,1
147,1
149,3
150,3
151,2
152,1
153,1
155,3
158,0
159,1
160,2
161,0
162,2
164,3
165,2
178,0
184,3
189,2
190,3
191,1
197,3
199,1
200,2
202,1
203,3
206,3
207,2
208,2
210,3
211,2
212,2
215,2
216,1
217,3
220,2
222,0
224,1
225,2
226,2
227,3
228,3
229,3
230,0
231,0
233,2
234,3
235,2
236,2
248,3
251,3
253,3
255,0
256,2
258,3
259,1
260,1
261,3
262,2
263,3
264,2
265,3
266,2
267,2
268,3
270,2
271,2
272,2
273,2
274,3
275,3
276,2
277,0
278,1
281,2
282,0
283,1
286,3
292,1
293,1
294,2
296,3
298,2
299,3
300,1
301,1
302,3
303,1
305,1
306,3
307,1
309,2
310,3
312,2
313,1
314,2
315,3
317,3
318,3
319,2
322,2
323,2
324,2
326,0
327,2
329,3
330,0
331,2
332,0
333,1
334,2
336,1
337,2
338,1
339,1
341,1
342,0
343,3
346,1
347,0
348,2
349,3
351,0
352,3
353,1
356,1
357,2
358,2
360,2
361,2
362,1
363,1
364,3
366,0
367,2
369,2
370,2
373,2
374,2
375,1
376,1
377,2
378,2
379,3
381,1
382,3
383,3
384,0
385,0
386,3
387,2
388,2
389,2
390,2
391,3
392,2
393,3
394,3
395,3
397,1
398,3
400,3
401,1
402,3
404,2
405,3
406,3
407,3
408,2
409,2
410,0
412,0
413,2
414,0
415,3
416,2
417,2
418,1
419,2
422,1
423,0
424,0
425,0
426,0
427,2
428,3
431,1
432,0
434,2
435,1
436,3
441,3
442,1
443,0
444,2
445,2
446,2
447,2
448,1
450,1
451,2
452,3
454,1
455,3
456,3
457,0
459,3
461,0
462,0
463,1
464,3
465,1
466,2
468,2
469,0
471,3
472,3
473,3
474,0
475,3
477,2
478,0
481,3
483,2
485,2
486,2
487,2
488,2
489,3
492,0
493,2
495,3
501,3
504,2
505,2
506,0
509,0
512,2
513,2
514,2
515,1
516,2
517,3
519,2
520,3
523,2
524,3
525,2
526,2
527,0
528,0
529,2
531,1
543,2
544,2
546,2
548,2
550,0
551,2
552,2
553,3
555,0
556,0
557,3
558,2
559,0
560,3
563,3
565,3
568,3
569,2
570,2
571,2
572,2
573,1
575,1
579,2
580,2
582,3
583,0
584,2
585,1
586,0
587,1
588,3
590,2
592,1
594,1
595,1
596,3
597,1
598,3
599,0
600,2
602,1
604,2
605,1
606,2
608,0
610,2
611,0
612,1
613,2
614,2
615,0
616,3
617,0
618,1
619,1
620,1
622,3
626,1
627,3
628,1
629,2
630,2
632,1
633,3
634,3
635,1
636,0
637,1
638,3
639,3
641,3
642,2
643,3
644,1
645,3
646,3
647,1
648,0
649,2
650,3
651,3
652,2
653,2
654,3
656,3
657,3
658,3
659,2
660,3
661,3
662,3
663,3
664,3
665,0
666,3
669,2
670,3
671,3
672,2
674,3
675,3
677,3
679,1
680,0
681,1
682,0
683,2
684,1
685,1
686,2
687,3
688,2
689,3
690,0
691,2
692,3
693,2
694,1
695,2
696,0
697,3
698,3
699,2
700,3
701,0
702,3
703,2
705,0
706,2
708,0
709,3
711,2
712,2
713,2
714,1
716,2
718,1
719,2
720,0
721,2
723,2
728,2
730,3
731,3
732,2
735,2
736,1
737,2
738,3
739,1
740,2
741,2
742,2
750,2
751,2
752,2
754,1
755,0
756,2
758,2
761,2
762,2
763,2
764,1
766,3
767,2
768,2
769,0
770,2
771,2
772,3
773,2
774,0
776,3
779,1
781,3
782,1
785,0
786,2
788,3
789,3
790,0
791,3
792,1
795,2
797,3
798,3
