feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
跌倒评估-总分,Fall risk score,0.0,0.2810412027075564,32.43118545601932,0.0
肌少症评估-总分,Sarcopenia score,4.2241808838808587e-224,0.19492052588980424,2.2239352635753544,2.534508530328515e-223
IADL量表-总分,IADL total,7.310339582159202e-219,0.1704006082999912,4.24321330211885,2.924135832863681e-218
衰弱快速筛查量表-总分,Frailty screen score,1.407982778816574e-191,0.171426073118594,0.97261479192263,4.2239483364497224e-191
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,9.95278291404738e-181,0.13765543174360217,1.026756196179209,2.388667899371371e-180
ADL量表-总分,ADL total,6.405365235604819e-176,0.12422024576616722,12.412907051440428,1.2810730471209638e-175
弹性评估-总分,Resilience score,5.864486846997724e-166,0.11150350242868769,8.55752583055284,1.0053406023424669e-165
Fried衰弱表型评估-总分,Fried frailty score,2.3680862503613204e-164,0.14511710533473243,1.0723913535787712,3.552129375541981e-164
生活行为与社会功能评估-总分,Social function score,3.504775922320828e-123,0.117723983324343,0.9822722089855273,4.673034563094438e-123
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,5.165731656658807e-115,0.09467009374380907,1.0390912101951013,6.198877987990569e-115
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,1.0376937039061018e-99,0.06953788980178247,0.7668906308323997,1.1320294951702928e-99
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,9.418619430499185e-61,0.0347066128221906,0.47835812797512833,9.418619430499184e-61
