sample_id,cluster_id
7,3
8,2
9,2
10,3
13,3
14,2
15,3
16,3
17,2
18,2
20,1
21,2
23,1
29,2
30,1
31,2
32,2
33,1
34,2
36,0
37,2
38,2
39,1
40,2
41,1
42,2
43,3
44,2
45,2
46,3
47,2
58,1
61,0
62,2
63,1
64,2
67,3
73,0
78,3
79,1
80,3
83,1
84,0
85,3
87,3
89,2
90,2
91,2
93,2
94,2
95,2
97,2
98,3
102,2
103,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,0
113,2
123,2
125,3
126,2
127,3
134,2
135,2
136,0
137,1
138,2
139,2
140,3
142,3
143,1
145,3
146,1
147,1
149,2
150,2
151,3
152,1
153,1
155,2
158,1
159,1
160,3
161,0
162,3
164,2
165,3
178,0
184,2
189,3
190,2
191,1
197,2
199,1
200,3
202,1
203,2
206,2
207,3
208,3
210,2
211,3
212,3
215,3
216,1
217,2
220,3
222,0
224,1
225,3
226,3
227,2
228,2
229,2
230,2
231,0
233,3
234,2
235,3
236,3
248,2
251,2
253,2
255,2
256,3
258,2
259,1
260,1
261,2
262,3
263,2
264,3
265,2
266,3
267,3
268,2
270,3
271,0
272,3
273,3
274,2
275,2
276,0
277,0
278,1
281,3
282,2
283,1
286,2
292,2
293,1
294,2
296,2
298,3
299,2
300,1
301,3
302,2
303,1
305,1
306,2
307,1
309,3
310,2
312,3
313,1
314,3
315,2
317,2
318,2
319,3
322,3
323,3
324,3
326,0
327,3
329,2
330,0
331,3
332,2
333,1
334,3
336,1
337,3
338,1
339,1
341,1
342,2
343,2
346,1
347,0
348,3
349,2
351,0
352,2
353,1
356,1
357,0
358,3
360,0
361,3
362,1
363,1
364,2
366,0
367,2
369,3
370,3
373,3
374,3
375,2
376,1
377,3
378,3
379,2
381,1
382,2
383,2
384,0
385,0
386,2
387,0
388,3
389,3
390,3
391,2
392,3
393,2
394,2
395,2
397,3
398,2
400,2
401,1
402,2
404,3
405,2
406,2
407,2
408,3
409,3
410,0
412,0
413,3
414,0
415,2
416,3
417,3
418,1
419,0
422,1
423,0
424,0
425,0
426,0
427,3
428,2
431,1
432,2
434,3
435,1
436,2
441,2
442,1
443,2
444,3
445,3
446,3
447,3
448,1
450,1
451,0
452,2
454,1
455,2
456,2
457,0
459,2
461,2
462,0
463,1
464,2
465,1
466,3
468,3
469,2
471,2
472,2
473,2
474,0
475,2
477,3
478,0
481,2
483,3
485,3
486,3
487,3
488,0
489,2
492,0
493,3
495,2
501,2
504,3
505,3
506,0
509,0
512,0
513,3
514,0
515,1
516,0
517,2
519,3
520,2
523,3
524,2
525,3
526,3
527,0
528,0
529,3
531,1
543,3
544,3
546,3
548,3
550,0
551,0
552,3
553,2
555,0
556,0
557,2
558,3
559,0
560,2
563,2
565,2
568,0
569,3
570,3
571,3
572,3
573,1
575,1
579,3
580,3
582,2
583,0
584,0
585,1
586,0
587,1
588,2
590,3
592,1
594,1
595,1
596,2
597,1
598,2
599,0
600,0
602,1
604,3
605,1
606,3
608,2
610,3
611,0
612,1
613,0
614,3
615,0
616,2
617,0
618,1
619,1
620,1
622,2
626,1
627,2
628,1
629,0
630,3
632,1
633,2
634,2
635,1
636,0
637,1
638,2
639,2
641,2
642,3
643,0
644,1
645,2
646,2
647,1
648,0
649,3
650,2
651,2
652,3
653,3
654,3
656,2
657,2
658,2
659,0
660,2
661,2
662,2
663,2
664,2
665,0
666,0
669,3
670,0
671,2
672,3
674,2
675,2
677,2
679,1
680,0
681,1
682,0
683,3
684,1
685,1
686,3
687,2
688,0
689,2
690,0
691,3
692,2
693,3
694,3
695,2
696,0
697,2
698,2
699,3
700,1
701,0
702,2
703,3
705,0
706,1
708,2
709,2
711,3
712,3
713,0
714,1
716,0
718,1
719,0
720,0
721,3
723,3
728,3
730,2
731,2
732,3
735,3
736,1
737,3
738,2
739,3
740,3
741,3
742,3
750,3
751,3
752,0
754,1
755,0
756,3
758,3
761,0
762,3
763,3
764,1
766,2
767,0
768,0
769,0
770,3
771,3
772,2
773,0
774,0
776,2
779,2
781,2
782,1
785,0
786,3
788,2
789,2
790,0
791,2
792,1
795,3
797,3
798,2
799,3
800,3
801,0
802,0
803,3
804,2
805,3
806,2
807,2
808,1
809,3
810,3
811,0
812,0
814,2
815,2
816,2
817,2
818,1
819,2
820,0
822,2
823,3
825,1
826,0
827,2
829,3
833,0
834,3
835,2
836,1
839,2
840,0
841,2
842,2
843,1
846,1
848,2
850,1
852,2
853,2
854,2
855,2
856,2
857,2
858,1
859,1
862,0
864,3
866,2
867,2
869,2
870,0
872,0
873,3
874,3
875,0
877,2
878,3
879,3
880,1
881,2
882,2
883,2
884,0
885,1
887,2
888,1
890,0
892,0
893,3
894,1
895,3
896,1
898,3
899,2
900,1
901,0
902,0
903,0
904,0
905,0
907,3
908,2
909,2
913,3
914,0
917,0
918,2
919,1
921,2
922,1
923,2
924,3
925,2
926,0
927,0
930,2
931,2
932,0
933,0
934,1
935,2
936,3
937,3
938,2
939,0
940,3
941,2
943,0
944,2
946,2
948,0
949,0
950,2
951,2
953,3
954,2
955,2
956,2
957,0
958,0
959,0
960,1
961,1
962,3
963,3
964,0
966,1
967,0
968,2
969,0
970,2
971,0
972,3
973,0
975,0
976,0
977,3
978,0
979,0
980,2
981,0
984,3
985,0
987,2
988,0
989,0
990,0
991,0
992,0
994,1
995,2
997,0
1000,1
1001,3
1002,2
1003,0
1005,3
1006,3
1007,3
1008,2
1011,0
1014,2
1015,1
1016,0
1017,3
1018,3
1020,0
1021,0
1022,2
1024,2
1025,0
1026,0
1029,1
1030,3
1031,0
1032,1
1033,1
1034,3
1037,0
1038,0
1039,3
1040,1
1041,2
1043,2
1044,0
1045,3
1046,0
1047,0
1049,2
1051,0
1053,2
1054,3
1055,0
1057,2
1058,3
1059,0
1060,0
1062,0
1063,3
1065,0
1067,2
1068,0
1069,0
1070,2
1072,3
1075,2
1076,3
1077,2
1078,2
1079,1
1080,0
1081,2
1082,0
1083,0
1086,0
1087,0
1089,3
1090,3
1092,1
1093,2
1095,0
1096,1
1097,1
1099,0
1100,1
1101,3
1102,1
1103,3
1104,3
1105,2
1107,2
1108,3
1109,0
1110,2
1113,0
1115,1
1116,3
1117,3
1118,0
1123,3
1124,0
1125,2
1127,0
1129,3
1130,3
1132,2
1133,3
1135,1
1136,3
1137,3
1138,2
1139,2
1140,0
1141,0
1142,3
1143,0
1144,1
1145,0
1146,0
1147,0
1150,0
1151,2
1152,1
1153,0
1154,2
1155,3
1157,2
1158,0
1159,0
1161,2
1162,2
1163,3
1164,1
1165,3
1166,0
1167,0
1168,2
1169,0
1171,0
1172,0
1173,3
1175,3
1176,3
1177,3
1179,2
1182,0
1183,2
1184,1
1186,0
1187,0
1189,3
1190,3
1192,0
1193,2
1194,0
1196,3
1197,2
1198,3
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,2
1212,0
1213,0
1214,1
1216,3
1217,3
1218,0
1220,0
1222,0
1224,0
1226,1
1227,0
1229,0
1230,3
1231,2
1232,3
1234,3
1235,0
1236,1
1238,0
1239,0
1240,0
1241,3
1243,2
1245,0
1247,0
1248,0
1249,0
1251,0
1252,2
1253,2
1254,0
1255,0
1259,0
1261,0
1262,2
1263,0
1265,2
1266,2
1267,3
1268,1
1269,3
1270,2
1272,0
1274,1
1275,2
1276,3
1277,3
1279,0
1280,0
1281,0
1282,2
1283,0
1287,1
1290,1
1292,2
1293,3
1294,0
1296,0
1297,1
1298,2
1299,2
1300,2
1301,0
1302,2
1303,3
1304,2
1305,0
1306,0
1307,0
1308,0
1312,0
1314,0
1315,0
1316,2
1318,3
1319,2
1320,0
1321,2
1322,0
1323,3
1324,1
1325,2
1328,2
1329,0
1331,0
1333,0
1334,2
1336,0
1337,1
1338,1
1339,0
1340,1
1341,2
1342,1
1343,0
1344,0
1346,1
1347,0
1348,0
1349,1
1350,2
1351,2
1352,1
1353,3
1354,1
1355,3
1356,1
1357,1
1358,2
1359,3
1360,2
1361,3
1362,2
1363,2
1364,2
1365,1
1366,3
1369,1
1371,1
1372,0
1374,2
1375,1
1379,2
1380,0
1381,3
1382,0
1383,2
1384,2
1385,2
1386,2
1387,1
1391,3
1394,1
1395,1
1396,2
1397,1
1398,2
1400,0
1402,2
1404,0
1405,0
1406,0
1407,0
1408,3
1409,1
1410,0
1411,0
1412,0
1413,0
1414,1
1415,1
1416,1
1417,0
1418,0
1419,3
1420,2
1421,0
1423,2
1424,0
1425,0
1427,1
1428,2
1430,2
1431,0
1432,0
1435,1
1438,0
1439,2
1440,1
1443,2
1444,0
1445,2
1447,2
1449,2
1457,2
1459,0
1460,0
1461,1
1463,0
1464,0
1466,3
1467,2
1469,0
1470,0
1472,1
1473,0
1474,0
1475,1
1476,2
1477,2
1478,1
1479,1
1480,3
1481,3
1483,0
1487,3
1488,0
1489,2
1491,0
1492,1
1493,2
1495,0
1496,3
1498,3
1499,2
1500,3
1501,0
1502,1
1503,0
1505,1
1506,1
1508,1
1509,0
1510,1
1511,1
1512,3
1513,3
1516,0
1517,0
1518,2
1519,2
1521,3
1522,0
1529,0
1530,2
1532,2
1533,1
1535,1
1539,0
1541,0
1542,2
1543,3
1544,3
1546,2
1547,0
1548,2
1549,1
1550,0
1551,2
1552,1
1553,0
1554,2
1555,0
1557,0
1558,3
1559,1
1560,3
1561,0
1562,3
1563,0
1564,1
1566,2
1569,1
1571,0
1572,0
1573,1
1574,1
1576,0
1579,0
1581,1
1582,1
1583,2
1584,2
1585,0
1586,1
1587,3
1588,1
1589,2
1591,1
1592,2
1593,1
1594,0
1597,0
1598,2
1601,0
1602,1
1603,0
1604,3
1606,2
1607,2
1608,2
1609,2
1610,3
1612,0
1613,1
1614,0
1615,2
1616,1
1617,2
1619,2
1620,1
1621,2
1622,2
1624,1
1625,1
1626,1
1627,2
1628,3
1629,0
1630,3
1631,0
1632,0
1634,1
1635,3
1637,1
1639,2
1640,0
1641,0
1642,1
1643,0
1645,0
1646,3
1648,1
1649,1
1650,2
1651,0
1652,0
1654,1
1656,2
1657,2
1659,3
1660,3
1661,3
1662,3
1663,0
1666,0
1667,1
1669,1
1670,0
1673,2
1674,2
1675,2
1676,3
1677,0
1678,1
1679,2
1681,2
1682,3
1683,3
1684,1
1685,2
1686,1
1688,0
1689,3
1690,3
1691,2
1692,1
1693,0
1695,0
1696,3
1699,0
1701,0
1702,3
1704,1
1705,1
1706,0
1707,0
1708,2
1709,3
1711,0
1712,0
1714,2
1715,1
1717,3
1718,2
1719,1
1720,3
1721,0
1722,1
1725,0
1727,2
1728,1
1730,0
1731,1
1732,1
1733,0
1737,2
1739,0
1740,0
1741,1
1742,0
1744,3
1745,2
1746,0
1747,1
1748,0
1749,2
1750,2
1751,0
1753,2
1754,1
1755,2
1756,3
1757,0
1758,0
1759,0
1760,0
1761,1
1763,1
1766,2
1767,1
1768,3
1769,3
1770,1
1771,2
1773,1
1774,1
1776,1
1777,1
1778,2
1779,1
1781,3
1782,1
1785,3
1786,3
1787,0
1788,0
1789,2
1790,0
1791,1
1792,2
1793,2
1796,1
1801,3
1804,2
1805,1
1807,1
1808,3
1809,2
1812,3
1814,3
1815,2
1816,0
1817,1
1818,3
1819,0
1820,1
1821,3
1822,1
1823,1
1824,0
1825,0
1826,0
1828,1
1829,0
1831,1
1832,1
1833,0
1834,3
1835,3
1836,1
1837,0
1839,2
1840,3
1843,0
1844,0
1846,3
1848,1
1849,1
1850,0
1851,1
1852,3
1854,0
1855,2
1856,2
1858,0
1859,2
1861,0
1862,3
1863,2
1864,1
1865,0
1867,3
1868,1
1869,1
1870,2
1871,0
1872,3
1873,0
1874,1
1875,0
1876,0
1877,2
1878,3
1879,2
1880,2
1881,1
1882,1
1883,1
1884,3
1885,2
1886,0
1887,0
1889,3
1890,2
1891,0
1892,2
1893,1
1894,1
1895,2
1896,2
1898,3
1899,1
1901,1
1902,0
1903,0
1904,0
1905,0
1906,3
1908,2
1909,2
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1918,2
1919,2
1920,0
1921,3
1922,0
1923,2
1925,0
1926,2
1927,2
1931,2
1932,0
1933,2
1934,1
1936,0
1937,0
1938,3
1939,2
1940,2
1942,3
1943,0
1944,2
1945,0
1946,3
1947,1
1949,1
1950,1
1951,0
1952,1
1953,1
1954,2
1956,0
1957,1
1958,1
1959,1
1960,0
1961,1
1962,0
1964,2
1966,3
1968,0
1970,0
1971,2
1972,0
1973,0
1975,1
1976,0
1977,0
1978,3
1979,2
1980,2
1981,2
1982,0
1983,3
1984,3
1985,0
1991,0
1993,0
1996,2
1998,1
1999,1
2001,3
2002,2
2003,1
2004,1
2005,0
2006,3
2007,3
2009,2
2014,2
2015,1
2016,0
2017,0
2018,0
2020,1
2021,3
2022,1
2024,0
2025,3
2026,3
2027,1
2028,0
2029,1
2030,0
2032,0
2033,0
2034,0
2035,3
2037,0
2038,0
2039,1
2040,0
2041,1
2042,0
2043,2
2046,2
2049,2
2050,0
2051,1
2052,0
2054,0
2055,1
2056,1
2062,2
2063,0
2064,1
2065,2
2067,3
2068,0
2069,3
2072,0
2073,2
2075,1
2076,0
2078,2
2079,2
2080,1
2081,0
2082,3
2083,0
2084,1
2085,3
2086,1
2087,0
2089,3
2090,0
2092,0
2094,3
2095,0
2096,0
2099,3
2100,0
2102,0
2103,1
2104,2
2105,0
2107,3
2110,0
2111,0
2112,0
2114,1
2117,3
2119,3
2120,0
2121,2
2123,1
2124,2
2125,1
2126,0
2128,1
2131,0
2133,1
2134,0
2135,2
2136,2
2137,2
2138,2
2139,0
2140,3
2141,2
2142,0
2143,3
2146,1
2147,0
2148,0
2149,2
2150,2
2152,0
2153,1
2155,0
2156,0
2157,0
2158,1
2159,1
2160,0
2161,2
2163,3
2164,0
2167,2
2169,0
2172,2
2173,3
2174,3
2176,2
2179,0
2180,0
2181,2
2183,3
2184,0
2185,1
2186,1
2187,0
2188,1
2189,3
2190,0
2194,0
2195,0
2197,0
2198,0
2199,0
2200,1
2201,1
2202,2
2205,2
2206,3
2207,2
2208,1
2209,3
2210,3
2211,3
2214,0
2215,0
2216,1
2218,1
2221,0
2222,3
2223,1
2224,2
2225,1
2226,3
2228,2
2230,3
2233,1
2235,0
2237,1
2238,1
2240,1
2241,0
2242,2
2244,1
2245,2
2246,2
2247,2
2248,0
2249,3
2250,3
2251,1
2252,1
2253,0
2254,0
2255,3
2256,0
2257,0
2259,0
2260,0
2261,0
2263,1
2264,0
2266,0
2268,3
2269,2
2270,1
2271,0
2272,2
2273,1
2274,2
2275,1
2276,0
2277,0
2278,0
2279,0
2281,2
2282,1
2283,3
2284,1
2285,0
2286,0
2289,0
2290,0
2291,1
2293,0
2294,1
2295,1
2297,2
2298,2
2299,3
2300,0
2303,1
2304,2
2305,3
2306,2
2307,0
2308,1
2309,0
2310,0
2313,3
2314,2
2315,1
2316,0
2317,3
2318,3
2319,0
2320,1
2321,1
2322,1
2323,1
2324,0
2325,1
2326,2
2328,0
2329,1
2331,1
2332,2
2333,1
2334,0
2335,0
2336,1
2337,1
2339,1
2340,2
2341,0
2342,1
2343,0
2344,0
2346,0
2347,0
2348,0
2349,2
2350,2
2351,2
2353,0
2356,0
2357,1
2358,0
2359,1
2361,1
2362,1
2363,1
2364,1
2365,0
2366,0
2367,2
2368,2
2369,0
2370,0
2372,2
2375,1
2376,3
2377,1
2379,3
2380,2
2381,0
2383,0
2384,1
2385,1
2386,0
2389,0
2391,3
2393,1
2395,2
2397,0
2398,0
2399,2
2400,0
2401,1
2402,3
2404,0
2405,1
2408,0
2409,2
2410,3
2411,0
2412,3
2413,2
2415,1
2416,2
2417,3
2418,0
2419,1
2420,2
2421,1
2423,1
2424,2
2425,0
2427,2
2430,3
2431,3
2432,2
2433,2
2434,2
2435,3
2436,3
2437,0
2438,1
2439,1
2442,0
2443,2
2444,0
2445,3
2446,2
2447,0
2448,3
2449,0
2450,2
2451,1
2452,1
2454,2
2457,1
2460,3
2461,1
2462,2
2464,2
2466,0
2467,3
2468,3
2469,0
2470,2
2471,0
2473,2
2474,0
2475,2
2476,2
2478,2
2480,3
2484,2
2485,1
2486,2
2489,2
2490,2
2492,2
2494,0
2495,2
2496,3
2497,0
2498,0
2499,0
2500,2
2501,2
2502,3
2503,1
2505,0
2510,0
2512,0
2516,1
2517,0
2519,2
2520,2
2521,0
2522,0
2523,2
2524,0
2525,0
2527,2
2528,0
2530,0
2531,3
2532,1
2533,0
2538,1
2539,1
2540,1
2542,2
2543,3
2544,3
2545,0
2546,2
2547,1
2548,3
2549,0
2550,1
2551,0
2552,2
2553,3
2554,0
2555,2
2556,1
2558,0
2560,2
2561,0
2562,0
2563,2
2564,2
2566,3
2567,3
2568,0
2571,1
2572,0
2574,0
2575,2
2576,2
2577,1
2578,0
2579,2
2581,2
2582,3
2584,1
2585,2
2589,2
2590,0
2591,0
2592,2
2593,0
2594,1
2595,1
2598,2
2601,3
2603,2
2604,3
2605,2
2606,0
2609,2
2610,1
2611,0
2612,0
2613,0
2614,2
2615,2
2617,2
2618,3
2619,1
2620,3
2621,3
2622,2
2623,1
2624,0
2625,3
2626,3
2627,1
2628,0
2629,2
2630,2
2631,3
2632,2
2633,1
2634,3
2635,3
2636,1
2637,0
2640,2
2641,2
2642,0
2643,0
2647,0
2648,0
2650,2
2651,2
2652,0
2653,1
2655,0
2656,3
2658,0
2659,3
2660,0
2662,3
2663,3
2664,2
2665,2
2668,1
2670,3
2671,2
2672,0
2673,2
2675,1
2677,1
2679,0
2680,0
2681,3
2683,2
2684,3
2685,0
2686,1
2687,2
2688,2
2690,0
2691,0
2692,3
2693,1
2694,1
2696,3
2697,2
2699,2
2700,3
2702,0
2703,2
2705,2
2706,1
2707,2
2709,2
2713,0
2714,0
2715,0
2716,2
2717,1
2718,3
2720,2
2721,1
2724,0
2725,2
2727,3
2731,1
2733,1
2734,1
2735,3
2736,0
2738,2
2739,2
2740,2
2741,3
2742,0
2745,0
2746,0
2747,3
2749,0
2750,3
2752,2
2753,2
2754,0
2757,0
2759,1
2761,3
2762,3
2763,3
2765,2
2766,3
2767,3
2771,2
2772,2
2773,0
2774,2
2775,0
2777,0
2778,1
2779,0
2780,2
2781,0
2782,1
2783,1
2784,2
2786,0
2787,2
2789,3
2790,1
2792,0
2793,0
2794,0
2795,3
2797,2
2799,2
2802,0
2805,2
2806,3
2807,1
2808,0
2809,2
2810,2
2811,1
2812,1
2813,2
2814,3
2815,0
2816,0
2817,3
2819,1
2820,0
2822,2
2823,2
2824,3
2826,2
2829,1
2830,3
2834,3
2836,0
2837,3
2838,3
2839,2
2840,0
2841,2
2842,2
2843,2
2847,1
2849,2
2850,2
2853,0
2854,0
2855,3
2856,0
2858,0
2861,1
2865,2
2867,1
2868,2
2870,0
2871,3
2872,1
2873,0
2874,2
2875,0
2876,2
2877,1
2878,0
2882,0
2883,1
2886,2
2889,0
2891,0
2892,3
2893,3
2894,2
2896,2
2897,3
2898,3
2899,2
2900,2
2901,2
2902,2
2903,1
2904,2
2905,0
2906,0
2909,0
2910,1
2912,2
2913,1
2914,2
2915,3
2916,3
2917,1
2919,0
2922,2
2923,2
2925,1
2926,3
2927,3
2928,0
2929,2
2930,1
2932,3
2934,2
2935,3
2936,2
2937,3
2939,1
2942,2
2945,0
2946,3
2948,1
2950,2
2951,2
2952,2
2953,0
2954,3
2956,1
2958,1
2959,0
2960,2
2961,2
2962,2
2963,2
2964,1
2965,2
2966,2
2967,1
2968,2
2970,2
2971,3
2973,0
2974,1
2975,0
2976,3
2978,3
2983,2
2984,0
2985,0
2986,0
2987,3
2988,3
2989,2
2990,2
2991,2
2992,2
2993,2
2994,0
2995,2
2996,2
2997,0
2999,2
3000,2
3002,2
3003,3
3004,2
3005,3
3006,0
3007,2
3008,0
3009,2
3010,2
3011,2
3012,3
3013,0
3015,3
3017,0
3018,3
3019,0
3020,0
3022,3
3023,3
3024,2
3025,3
3026,2
3027,3
3030,1
3032,2
3033,0
3034,3
3035,2
3036,3
3037,1
3038,2
3041,2
3042,2
3044,1
3045,2
3048,3
3049,0
3050,2
3051,3
3052,0
3053,0
3056,2
3057,0
3059,3
3061,3
3062,3
3063,0
3065,1
3066,3
3067,0
3069,2
3071,3
3073,1
3075,1
3078,0
3081,2
3082,2
3083,0
3084,0
3085,3
3086,0
3087,1
3088,0
3089,0
3090,3
3092,1
3093,0
3094,1
3095,3
3097,3
3098,3
3099,0
3100,2
3101,1
3102,3
3103,3
3104,1
3105,0
3106,1
3107,0
3108,1
3109,1
3110,1
3111,2
3112,2
3113,2
3114,0
3115,1
3116,2
3118,2
3119,1
3120,2
3123,0
3124,0
3125,0
3126,2
3127,0
3128,2
3129,2
3131,2
3132,3
3133,0
3136,2
3137,3
3138,1
3140,2
3142,1
3143,0
3144,2
3145,2
3146,2
3147,1
3149,3
3150,1
3151,2
3152,0
3154,3
3155,0
3157,3
3168,1
3169,0
3170,0
3171,0
3173,2
3176,3
3177,3
3181,0
3182,3
3183,3
3184,2
3185,3
3186,1
3187,1
3188,3
3189,2
3191,3
3192,2
3193,3
3196,0
3197,3
3204,1
3205,2
3207,2
3209,3
3210,3
3212,0
3213,1
3214,1
3215,1
3216,0
3217,2
3218,1
3220,2
3222,0
3223,1
3224,1
3225,3
3229,0
3231,0
3232,1
3233,0
3234,3
3235,0
3236,0
3238,2
3239,2
3240,2
3242,0
3243,0
3244,2
3245,0
3248,3
3250,1
3252,3
3253,3
3254,2
3255,2
3256,2
3257,3
3260,0
3261,0
3262,1
3264,2
3265,1
3266,1
3267,1
3269,3
3270,2
3271,3
3272,1
3273,2
3275,0
3276,3
3278,2
3279,3
3280,2
3281,1
3282,3
3283,0
3284,2
3285,3
3286,0
3288,2
3290,1
3291,1
3293,0
3294,3
3295,2
3296,2
3297,0
3299,2
3301,3
3302,0
3305,0
3306,1
3307,0
3308,2
3309,0
3311,2
3312,3
3315,2
3316,2
3317,3
3318,2
3319,1
3320,2
3321,2
3322,3
3323,0
3324,2
3327,3
3329,3
3331,0
3332,3
3336,1
3337,0
3341,3
3345,0
3346,1
3347,2
3348,3
3351,1
3352,3
3353,0
3356,0
3357,1
3359,1
3360,3
3361,3
3363,3
3364,2
3365,3
3368,2
3369,1
3370,3
3372,0
3374,2
3375,1
3377,3
3378,3
3379,3
3380,2
3382,3
3383,2
3384,1
3385,3
3386,3
3388,2
3389,1
3390,1
3392,2
3395,2
3396,3
3397,3
3398,0
3399,2
3400,2
3402,3
3403,2
3404,0
3405,3
3406,3
3408,2
3409,2
3410,3
3412,0
3414,1
3415,0
3416,1
3417,0
3418,0
3419,1
3421,2
3424,1
3425,3
3426,3
3427,2
3429,0
3430,1
3431,2
3432,0
3434,0
3435,0
3436,1
3437,3
3439,0
3440,1
3442,2
3443,1
3445,1
3446,3
3447,2
3448,0
3449,2
3450,0
3451,2
3453,0
3454,1
3455,0
3456,2
3457,1
3460,2
3461,2
3462,1
3463,1
3464,1
3465,3
3466,2
3467,3
3469,0
3470,2
3471,1
3472,1
3474,0
3475,0
3476,3
3477,3
3481,2
3482,2
3483,1
3484,2
3486,3
3487,1
3488,2
3489,2
3490,1
3491,1
3492,2
3493,3
3494,2
3495,2
3496,3
3498,3
3502,3
3508,0
3509,0
3510,0
3513,2
3514,2
3515,1
3517,2
3520,1
3521,0
3522,3
3523,2
3524,1
3525,2
3526,2
3527,3
3528,1
3529,1
3533,1
3535,3
3540,2
3541,1
3545,1
3546,2
3547,1
3548,0
3549,1
3551,3
3552,1
3553,1
3555,1
3556,2
3557,2
3558,1
3559,0
3560,1
3561,2
3562,2
3563,0
3564,0
3565,3
3566,3
3567,1
3568,0
3569,0
3570,3
3571,0
3572,1
3573,2
3575,1
3576,3
3577,0
3579,1
3580,2
3581,0
3582,2
3583,3
3584,2
3585,3
3586,2
3588,3
3589,2
3590,0
3591,1
3592,2
3593,3
3594,1
3595,2
3597,1
3599,2
3600,2
3602,2
3603,2
3605,2
3606,2
3608,2
3610,2
3611,2
3613,1
3614,3
3616,1
3619,2
3621,3
3622,1
3623,2
3625,0
3626,2
3630,2
3632,3
3635,1
3636,2
3638,0
3639,2
3641,2
3642,3
3643,3
3644,3
3645,3
3649,2
3650,0
3651,1
3652,1
3653,1
3657,3
3658,3
3659,3
3660,0
3662,1
3664,0
3665,1
3666,2
3667,1
3668,3
3670,1
3671,1
3672,3
3673,3
3675,0
3676,2
3677,1
3678,2
3681,0
3682,2
3683,2
3684,3
3685,3
3687,3
3688,0
3689,0
3690,0
3693,0
3694,3
3695,0
3697,3
3700,1
3701,0
3708,3
3709,2
3710,2
3714,3
3715,1
3716,2
3717,2
3718,3
3719,3
3720,2
3721,1
3723,2
3724,2
3729,1
3731,3
3733,1
3734,2
3735,0
3736,0
3737,3
3738,2
3739,3
3742,2
3743,3
3744,2
3745,2
3746,2
3748,3
3749,3
3750,3
3753,0
3754,2
3755,3
3756,2
3757,2
3758,3
3759,0
3760,0
3761,0
3762,3
3763,0
3764,2
3765,2
3766,2
3768,1
3769,1
3771,1
3773,3
3774,3
3775,2
3776,3
3777,2
3779,1
3780,3
3781,1
3782,0
3783,2
3784,0
3786,0
3787,1
3788,3
3789,1
3790,2
3792,3
3793,0
3794,2
3795,3
3796,0
3797,2
3799,2
3800,1
3801,0
3802,2
3803,3
3805,2
3806,1
3807,3
3808,1
3809,1
3810,0
3811,1
3812,2
3814,1
3816,2
3817,2
3818,2
3819,2
3820,1
3821,3
3822,2
3823,2
3824,2
3825,2
3826,2
3827,3
3828,3
3829,2
3831,3
3832,1
3833,1
3834,2
3835,0
3836,3
3837,2
3838,3
3839,0
3840,2
3843,0
3844,3
3845,0
3851,1
3853,3
3855,2
3856,3
3858,1
3861,0
3865,1
3866,1
3867,2
3870,3
3871,0
3872,3
3873,2
3874,3
3875,2
3877,3
3878,2
3879,2
3880,2
3881,2
3882,3
3884,2
3892,3
3896,0
3897,1
3898,3
3899,0
3900,1
3901,1
3902,1
3903,0
3904,2
3905,1
3906,1
3908,1
3909,2
3910,3
3911,1
3912,3
3913,0
3914,1
3915,0
3916,3
3917,0
3918,1
3919,3
3921,0
3924,3
3925,2
3926,0
3927,0
3929,2
3931,0
3932,3
3933,1
3935,1
3936,1
3937,0
3938,2
3939,0
3941,0
3942,2
3943,2
3944,1
3946,0
3947,3
3948,0
3951,2
3952,1
3953,2
3954,2
3959,0
3960,1
3961,0
3962,0
3964,1
3966,2
3970,2
3971,1
3974,2
3975,2
3978,0
3979,0
3980,0
3981,2
3983,1
3984,2
3985,3
3986,3
3987,2
3989,1
3990,0
3995,0
3996,2
3997,1
3998,0
3999,2
4000,3
4001,1
4002,0
4003,3
4004,2
4005,0
4006,0
4008,3
4009,2
4010,2
4012,2
4016,2
4019,0
4020,1
4022,0
4024,2
4028,0
4030,2
4032,2
4033,0
4034,1
4035,0
4036,0
4037,0
4038,0
4039,3
