feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
跌倒评估-总分,Fall risk score,0.0,0.26890717811435133,32.09264026986265,0.0
IADL量表-总分,IADL total,2.7898718602446175e-272,0.21946248840217342,4.361797970949844,1.6739231161467704e-271
肌少症评估-总分,Sarcopenia score,7.327270058554828e-260,0.22842411864865036,2.4183958107002916,2.9309080234219314e-259
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,3.967753495874522e-249,0.18765397580310644,1.1947264888805127,1.1903260487623567e-248
ADL量表-总分,ADL total,4.676317987543837e-227,0.16714033286180846,13.046975151090564,1.122316317010521e-226
衰弱快速筛查量表-总分,Frailty screen score,4.5060328327651586e-210,0.18859315650842695,1.0526220146888647,9.012065665530316e-210
弹性评估-总分,Resilience score,7.470197678890143e-209,0.14144642395696433,9.478191362725013,1.2806053163811675e-208
Fried衰弱表型评估-总分,Fried frailty score,1.2846839210117854e-180,0.16000494261281653,0.9956048005053163,1.9270258815176782e-180
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,2.2660065435859787e-156,0.1275315741198138,1.1545557701972609,3.0213420581146384e-156
生活行为与社会功能评估-总分,Social function score,4.4499933699509095e-142,0.12820714360701832,0.9883510501450089,5.339992043941092e-142
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,1.4241856114519494e-122,0.08738098681145721,0.8717038101520291,1.5536570306748538e-122
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,1.5710660479489267e-67,0.03871070437428406,0.5259493969091595,1.5710660479489267e-67
