sample_id,cluster_id
7,2
8,3
9,3
10,2
13,3
14,3
15,2
16,2
17,3
18,1
20,2
21,1
23,1
29,3
30,3
31,3
32,3
33,1
34,3
36,3
37,1
38,3
39,2
40,3
41,2
42,3
43,2
44,3
45,1
46,1
47,3
58,3
61,1
62,1
63,3
64,3
67,2
73,1
78,2
79,0
80,2
83,3
84,1
85,2
87,2
89,3
90,1
91,1
93,1
94,3
95,1
97,3
98,2
102,3
103,1
105,1
106,1
107,3
108,3
109,3
110,3
111,3
112,1
113,2
123,3
125,2
126,1
127,2
134,1
135,3
136,1
137,2
138,3
139,1
140,2
142,1
143,3
145,1
146,3
147,3
149,1
150,3
151,2
152,1
153,2
155,1
158,0
159,1
160,2
161,0
162,2
164,1
165,2
178,0
184,3
189,2
190,1
191,1
197,3
199,3
200,2
202,3
203,3
206,3
207,2
208,2
210,3
211,2
212,2
215,2
216,2
217,3
220,1
222,1
224,3
225,1
226,2
227,3
228,3
229,3
230,1
231,0
233,2
234,3
235,1
236,2
248,1
251,3
253,3
255,0
256,2
258,3
259,2
260,3
261,3
262,2
263,3
264,2
265,1
266,2
267,2
268,3
270,2
271,1
272,1
273,2
274,3
275,3
276,0
277,0
278,1
281,2
282,1
283,1
286,3
292,3
293,3
294,2
296,3
298,0
299,3
300,3
301,2
302,3
303,1
305,3
306,3
307,3
309,2
310,3
312,2
313,2
314,2
315,3
317,3
318,1
319,2
322,2
323,2
324,2
326,0
327,2
329,3
330,1
331,2
332,1
333,2
334,2
336,1
337,2
338,3
339,3
341,2
342,1
343,3
346,3
347,0
348,2
349,3
351,0
352,3
353,3
356,2
357,1
358,2
360,2
361,1
362,3
363,0
364,3
366,0
367,3
369,2
370,2
373,2
374,2
375,3
376,1
377,2
378,2
379,3
381,2
382,3
383,3
384,0
385,0
386,3
387,2
388,1
389,1
390,1
391,3
392,2
393,3
394,3
395,3
397,2
398,3
400,1
401,3
402,3
404,2
405,3
406,3
407,3
408,2
409,2
410,0
412,0
413,2
414,1
415,3
416,3
417,2
418,2
419,1
422,3
423,0
424,0
425,3
426,0
427,2
428,3
431,3
432,1
434,2
435,3
436,1
441,3
442,2
443,1
444,2
445,2
446,2
447,2
448,3
450,3
451,1
452,3
454,1
455,3
456,3
457,0
459,1
461,0
462,0
463,1
464,1
465,1
466,2
468,0
469,1
471,3
472,1
473,1
474,0
475,3
477,1
478,0
481,1
483,2
485,2
486,2
487,2
488,1
489,3
492,1
493,2
495,3
501,1
504,2
505,2
506,0
509,0
512,2
513,2
514,1
515,3
516,0
517,3
519,2
520,3
523,1
524,1
525,2
526,1
527,1
528,0
529,2
531,1
543,2
544,1
546,1
548,1
550,0
551,1
552,2
553,1
555,0
556,1
557,1
558,2
559,0
560,3
563,3
565,1
568,3
569,2
570,2
571,2
572,2
573,2
575,2
579,2
580,2
582,3
583,0
584,0
585,3
586,1
587,2
588,3
590,2
592,1
594,2
595,1
596,3
597,3
598,3
599,0
600,1
602,2
604,2
605,2
606,2
608,1
610,2
611,1
612,1
613,1
614,2
615,1
616,1
617,1
618,1
619,1
620,1
622,3
626,3
627,3
628,1
629,1
630,2
632,2
633,3
634,3
635,3
636,0
637,0
638,3
639,3
641,3
642,2
643,3
644,3
645,3
646,3
647,3
648,1
649,2
650,1
651,3
652,2
653,2
654,3
656,1
657,3
658,3
659,0
660,3
661,3
662,1
663,3
664,3
665,0
666,1
669,1
670,3
671,1
672,2
674,3
675,3
677,3
679,3
680,0
681,3
682,0
683,2
684,2
685,1
686,2
687,3
688,2
689,3
690,0
691,2
692,1
693,2
694,2
695,1
696,1
697,3
698,3
699,1
700,1
701,0
702,3
703,2
705,1
706,1
708,2
709,3
711,2
712,1
713,1
714,1
716,1
718,0
719,2
720,1
721,1
723,2
728,2
730,3
731,3
732,1
735,2
736,3
737,2
738,3
739,2
740,2
741,2
742,2
750,1
751,2
752,2
754,2
755,0
756,1
758,2
761,0
762,2
763,2
764,2
766,1
767,1
768,1
769,1
770,2
771,2
772,3
773,1
774,0
776,3
779,1
781,3
782,3
785,0
786,2
788,3
789,3
790,0
791,1
792,3
795,1
797,3
798,1
