sample_id,cluster_id
7,2
8,2
9,2
10,2
13,2
14,2
15,2
16,2
17,2
18,1
20,2
21,2
23,2
29,2
30,2
31,2
32,2
33,2
34,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,1
47,2
58,2
61,0
62,1
63,2
64,2
67,2
73,2
78,2
79,0
80,2
83,2
84,1
85,2
87,2
89,2
90,1
91,2
93,2
94,2
95,1
97,2
98,2
102,2
103,2
105,2
106,1
107,2
108,2
109,2
110,2
111,2
112,1
113,2
123,2
125,2
126,2
127,2
134,1
135,2
136,1
137,2
138,2
139,2
140,2
142,2
143,2
145,2
146,2
147,2
149,1
150,2
151,2
152,1
153,2
155,1
158,0
159,2
160,2
161,0
162,2
164,2
165,2
178,0
184,2
189,2
190,0
191,1
197,2
199,2
200,2
202,2
203,2
206,2
207,2
208,2
210,2
211,2
212,2
215,2
216,2
217,2
220,2
222,0
224,2
225,2
226,2
227,2
228,2
229,2
230,1
231,0
233,2
234,2
235,0
236,2
248,1
251,2
253,2
255,0
256,2
258,2
259,2
260,2
261,2
262,2
263,1
264,2
265,2
266,2
267,2
268,2
270,2
271,1
272,0
273,2
274,2
275,2
276,0
277,0
278,1
281,2
282,1
283,2
286,2
292,2
293,2
294,2
296,2
298,0
299,2
300,2
301,2
302,2
303,1
305,2
306,2
307,2
309,2
310,2
312,2
313,2
314,2
315,2
317,2
318,2
319,2
322,2
323,2
324,2
326,0
327,2
329,2
330,2
331,2
332,1
333,2
334,2
336,1
337,2
338,2
339,2
341,2
342,1
343,2
346,2
347,0
348,2
349,2
351,0
352,2
353,2
356,2
357,1
358,2
360,2
361,1
362,2
363,0
364,2
366,0
367,2
369,2
370,2
373,2
374,2
375,2
376,1
377,2
378,2
379,2
381,2
382,2
383,2
384,0
385,0
386,2
387,2
388,1
389,2
390,1
391,2
392,2
393,1
394,2
395,2
397,2
398,2
400,1
401,2
402,2
404,2
405,2
406,2
407,2
408,2
409,2
410,0
412,0
413,2
414,0
415,2
416,2
417,2
418,2
419,1
422,2
423,0
424,0
425,2
426,0
427,2
428,2
431,2
432,1
434,2
435,2
436,1
441,2
442,2
443,1
444,2
445,2
446,2
447,2
448,2
450,2
451,1
452,2
454,1
455,2
456,2
457,0
459,1
461,0
462,0
463,0
464,0
465,1
466,2
468,0
469,1
471,2
472,1
473,1
474,0
475,2
477,1
478,0
481,2
483,2
485,2
486,2
487,2
488,1
489,2
492,0
493,2
495,2
501,2
504,2
505,2
506,0
509,0
512,2
513,2
514,0
515,2
516,0
517,2
519,2
520,1
523,1
524,1
525,2
526,1
527,1
528,0
529,2
531,1
543,2
544,2
546,2
548,1
550,0
551,1
552,2
553,1
555,0
556,1
557,1
558,2
559,0
560,2
563,2
565,1
568,2
569,2
570,2
571,2
572,2
573,2
575,2
579,2
580,2
582,2
583,0
584,0
585,2
586,1
587,2
588,2
590,2
592,0
594,2
595,2
596,2
597,2
598,2
599,0
600,1
602,2
604,2
605,2
606,2
608,0
610,2
611,1
612,0
613,0
614,2
615,0
616,2
617,1
618,1
619,1
620,1
622,2
626,2
627,2
628,2
629,1
630,2
632,2
633,2
634,2
635,2
636,0
637,0
638,2
639,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,0
649,2
650,1
651,2
652,2
653,2
654,2
656,2
657,2
658,2
659,0
660,2
661,2
662,1
663,2
664,2
665,0
666,1
669,2
670,2
671,2
672,2
674,2
675,2
677,2
679,2
680,0
681,2
682,0
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,0
691,2
692,1
693,2
694,2
695,1
696,2
697,2
698,2
699,2
700,1
701,0
702,2
703,2
705,1
706,1
708,1
709,2
711,2
712,1
713,0
714,0
716,1
718,0
719,2
720,1
721,1
723,2
728,2
