sample_id,cluster_id
7,2
8,3
9,3
10,3
13,2
14,2
15,2
16,2
17,3
18,2
20,1
21,3
23,1
29,2
30,1
31,2
32,3
33,1
34,3
36,0
37,2
38,2
39,1
40,2
41,1
42,3
43,2
44,2
45,3
46,2
47,3
58,1
61,2
62,3
63,1
64,2
67,3
73,2
78,3
79,1
80,2
83,1
84,2
85,3
87,2
89,2
90,2
91,2
93,2
94,2
95,2
97,2
98,3
102,3
103,3
105,2
106,3
107,2
108,2
109,2
110,2
111,3
112,3
113,2
123,2
125,3
126,2
127,2
134,2
135,3
136,2
137,1
138,2
139,3
140,3
142,3
143,2
145,3
146,1
147,1
149,3
150,2
151,2
152,1
153,1
155,2
158,0
159,1
160,2
161,2
162,2
164,3
165,3
178,2
184,2
189,2
190,2
191,1
197,2
199,1
200,3
202,1
203,3
206,3
207,3
208,3
210,3
211,3
212,3
215,3
216,1
217,3
220,3
222,3
224,1
225,0
226,3
227,3
228,3
229,2
230,2
231,3
233,3
234,2
235,2
236,3
248,2
251,2
253,2
255,2
256,2
258,2
259,1
260,1
261,2
262,3
263,2
264,2
265,2
266,2
267,0
268,3
270,2
271,3
272,2
273,2
274,2
275,2
276,2
277,2
278,1
281,3
282,2
283,1
286,2
292,1
293,1
294,0
296,3
298,3
299,0
300,1
301,1
302,3
303,1
305,1
306,2
307,1
309,3
310,0
312,3
313,1
314,3
315,1
317,3
318,0
319,2
322,0
323,3
324,0
326,3
327,3
329,2
330,3
331,3
332,0
333,1
334,3
336,1
337,3
338,1
339,1
341,1
342,2
343,3
346,1
347,3
348,3
349,2
351,0
352,3
353,1
356,1
357,2
358,0
360,0
361,0
362,1
363,1
364,3
366,0
367,3
369,2
370,3
373,2
374,0
375,1
376,1
377,0
378,3
379,0
381,1
382,0
383,0
384,2
385,0
386,3
387,3
388,3
389,3
390,3
391,3
392,2
393,2
394,2
395,3
397,1
398,2
400,2
401,1
402,2
404,0
405,0
406,2
407,3
408,3
409,2
410,0
412,2
413,1
414,0
415,2
416,2
417,3
418,1
419,3
422,1
423,1
424,2
425,3
426,0
427,2
428,3
431,1
432,2
434,3
435,1
436,0
441,2
442,1
443,3
444,3
445,2
446,3
447,2
448,1
450,1
451,3
452,2
454,1
455,2
456,2
457,2
459,2
461,0
462,2
463,1
464,2
465,1
466,3
468,3
469,2
471,3
472,0
473,2
474,2
475,2
477,2
478,0
481,0
483,3
485,0
486,0
487,3
488,0
489,0
492,0
493,0
495,2
501,3
504,3
505,3
506,3
509,2
512,3
513,1
514,3
515,1
516,0
517,2
519,0
520,0
523,2
524,3
525,0
526,2
527,0
528,0
529,3
531,1
543,2
544,3
546,2
548,3
550,0
551,2
552,0
553,0
555,0
556,2
557,3
558,0
559,3
560,3
563,3
565,2
568,3
569,3
570,3
571,0
572,1
573,1
575,1
579,3
580,0
582,3
583,0
584,0
585,1
586,0
587,1
588,3
590,3
592,1
594,1
595,1
596,3
597,1
598,2
599,0
600,3
602,1
604,0
605,1
606,0
608,0
610,0
611,3
612,1
613,0
614,0
615,2
616,0
617,2
618,1
619,1
620,1
622,3
626,1
627,3
628,1
629,3
630,3
632,1
633,0
634,3
635,1
636,0
637,1
638,3
639,2
641,0
642,0
643,3
644,1
645,3
646,3
647,1
648,0
649,0
650,0
651,3
652,3
653,3
654,2
656,3
657,0
658,3
659,3
660,3
661,0
662,0
663,3
664,2
665,2
666,3
669,0
670,3
671,1
672,1
674,3
675,3
677,3
679,1
680,0
681,1
682,0
683,3
684,1
685,1
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,1
695,2
696,3
697,2
698,3
699,1
700,2
701,0
702,3
703,3
705,0
706,0
708,0
709,2
711,0
712,2
713,2
714,1
716,0
718,1
719,3
720,0
721,3
723,2
728,2
730,2
731,2
732,2
735,3
736,1
737,2
738,3
739,1
740,2
741,3
742,3
750,0
751,0
752,3
754,1
755,0
756,3
758,0
761,2
762,3
763,3
764,1
766,2
767,3
768,0
769,0
770,0
771,3
772,3
773,3
774,3
776,1
779,1
781,3
782,1
785,2
786,3
788,2
789,3
790,3
791,2
792,1
795,3
797,0
798,0
