sample_id,cluster_id
7,4
8,4
9,4
10,4
13,4
14,4
15,4
16,4
17,4
18,4
20,3
21,4
23,3
29,4
30,3
31,4
32,4
33,3
34,2
36,4
37,4
38,4
39,3
40,4
41,3
42,4
43,4
44,4
45,4
46,4
47,4
58,3
61,1
62,4
63,3
64,4
67,4
73,1
78,4
79,3
80,4
83,3
84,4
85,4
87,4
89,4
90,1
91,4
93,4
94,4
95,4
97,4
98,4
102,0
103,0
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
123,4
125,4
126,4
127,4
134,4
135,4
136,4
137,3
138,4
139,4
140,4
142,4
143,4
145,1
146,3
147,3
149,4
150,4
151,4
152,3
153,3
155,4
158,0
159,3
160,4
161,0
162,4
164,2
165,0
178,0
184,4
189,4
190,4
191,3
197,4
199,3
200,2
202,3
203,4
206,4
207,4
208,1
210,4
211,2
212,4
215,2
216,3
217,4
220,4
222,0
224,3
225,2
226,4
227,4
228,4
229,4
230,4
231,0
233,4
234,1
235,0
236,4
248,4
251,4
253,4
255,4
256,4
258,4
259,3
260,3
261,4
262,2
263,4
264,4
265,4
266,4
267,2
268,4
270,4
271,0
272,0
273,4
274,4
275,4
276,0
277,0
278,3
281,0
282,0
283,3
286,4
292,3
293,3
294,1
296,1
298,0
299,2
300,3
301,3
302,1
303,3
305,3
306,4
307,3
309,2
310,1
312,1
313,3
314,4
315,3
317,1
318,2
319,4
322,2
323,4
324,1
326,0
327,1
329,4
330,0
331,4
332,1
333,3
334,0
336,3
337,1
338,3
339,3
341,3
342,4
343,1
346,3
347,0
348,1
349,4
351,0
352,4
353,3
356,3
357,1
358,2
360,2
361,2
362,3
363,0
364,4
366,0
367,1
369,1
370,4
373,4
374,2
375,3
376,3
377,2
378,2
379,2
381,3
382,2
383,2
384,0
385,0
386,4
387,4
388,0
389,4
390,4
391,4
392,4
393,4
394,4
395,4
397,3
398,4
400,4
401,3
402,4
404,2
405,4
406,4
407,2
408,4
409,4
410,0
412,4
413,3
414,2
415,4
416,4
417,4
418,3
419,0
422,3
423,0
424,0
425,4
426,0
427,4
428,1
431,3
432,4
434,1
435,3
436,1
441,4
442,3
443,0
444,1
445,4
446,4
447,4
448,3
450,3
451,0
452,4
454,3
455,4
456,4
457,0
459,1
461,1
462,0
463,3
464,1
465,3
466,2
468,0
469,4
471,4
472,2
473,4
474,0
475,4
477,2
478,0
481,2
483,2
485,2
486,2
487,2
488,2
489,2
492,2
493,2
495,4
501,4
504,4
505,4
506,0
509,0
512,2
513,3
514,2
515,3
516,0
517,4
519,2
520,1
523,4
524,2
525,2
526,2
527,2
528,0
529,4
531,3
543,4
544,1
546,4
548,2
550,0
551,4
552,2
553,1
555,0
556,4
557,2
558,2
559,4
560,4
563,2
565,1
568,4
569,2
570,4
571,2
572,3
573,3
575,3
579,2
580,1
582,4
583,1
584,0
585,3
586,0
587,3
588,1
590,1
592,3
594,3
595,3
596,4
597,3
598,4
599,0
600,1
602,3
604,1
605,3
606,1
608,1
610,2
611,0
612,3
613,2
614,1
615,0
616,1
617,4
618,3
619,3
620,3
622,1
626,3
627,4
628,3
629,0
630,1
632,3
633,1
634,1
635,3
636,2
637,0
638,1
639,4
641,1
642,1
643,1
644,3
645,1
646,4
647,3
648,1
649,4
650,4
651,1
652,1
653,1
654,4
656,1
657,1
658,1
659,0
660,4
661,1
662,1
663,1
664,4
665,0
666,1
669,1
670,1
671,3
672,3
674,2
675,1
677,1
679,3
680,0
681,3
682,0
683,1
684,3
685,3
686,1
687,1
688,1
689,1
690,0
691,2
692,4
693,1
694,3
695,4
696,1
697,4
698,4
699,3
700,4
701,0
702,4
703,2
705,2
706,2
708,2
709,4
711,2
712,2
713,0
714,3
716,0
718,0
719,2
720,0
721,2
723,4
728,4
730,4
731,4
732,4
735,4
736,3
737,4
738,4
739,3
740,2
741,4
742,4
750,2
751,2
752,2
754,3
755,2
756,2
758,2
761,4
762,4
763,4
764,3
766,0
767,2
768,2
769,2
770,2
771,4
772,4
773,0
774,0
776,3
779,3
781,4
782,3
785,4
786,4
788,4
789,4
790,0
791,0
792,3
795,4
797,2
798,1
799,2
800,4
801,2
