feature,p_value,max_mean_diff
IADL量表-总分,0.0,6.6297687675938874
ADL量表-总分,0.0,22.670769704362627
跌倒评估-总分,0.0,41.27790379750066
肌少症评估-总分,3.860372363891208e-306,3.438649154082774
衰弱快速筛查量表-总分,4.550401874570248e-296,1.5708802733150258
生命质量评估-1）总体来讲，您的健康状况是,2.690412551068433e-240,1.6295789766194986
Fried衰弱表型评估-总分,4.417226029152217e-215,1.5702076924477126
弹性评估-总分,3.294590306800358e-176,12.117631015160377
生活行为与社会功能评估-总分,1.7893431438463984e-152,1.3860409864441985
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,6.150332176606408e-145,1.306996441979197
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,6.779103853314541e-103,1.2055451726975028
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,1.0127712115715606e-76,0.7911256531665298
