feature_raw,feature_en,p_value,max_mean_diff
IADL量表-总分,IADL total,0.0,6.621226559036394
ADL量表-总分,ADL total,0.0,22.60005460201596
跌倒评估-总分,Fall risk score,0.0,41.27583701409205
肌少症评估-总分,Sarcopenia score,3.8730771418464846e-305,3.4322552956238366
衰弱快速筛查量表-总分,Frailty screen score,2.579805143048708e-296,1.5698942730326035
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,5.816026626550774e-240,1.6284290260824372
Fried衰弱表型评估-总分,Fried frailty score,9.812474963056727e-215,1.5686067756860675
弹性评估-总分,Resilience score,6.539750851605557e-176,12.101850388766898
生活行为与社会功能评估-总分,Social function score,5.315729972427982e-152,1.3838973810970319
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,8.504666129914163e-146,1.3093603686836595
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,3.343958067389555e-103,1.206245688417678
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,4.9248981087552274e-77,0.7916303257821404
