sample_id,cluster_id
7,3
8,3
9,3
10,3
13,3
14,3
15,3
16,3
17,3
18,3
20,2
21,3
23,2
29,3
30,2
31,3
32,3
33,2
34,3
36,1
37,3
38,3
39,2
40,3
41,2
42,3
43,3
44,3
45,3
46,3
47,3
58,2
61,1
62,1
63,2
64,3
67,1
73,3
78,3
79,2
80,3
83,2
84,3
85,3
87,3
89,3
90,1
91,1
93,3
94,3
95,3
97,3
98,3
102,3
103,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
123,3
125,3
126,3
127,3
134,3
135,3
136,3
137,2
138,3
139,3
140,3
142,3
143,3
145,1
146,2
147,2
149,3
150,3
151,1
152,2
153,2
155,3
158,0
159,2
160,3
161,0
162,1
164,1
165,3
178,0
184,3
189,3
190,3
191,2
197,3
199,2
200,1
202,2
203,3
206,3
207,3
208,1
210,3
211,3
212,3
215,1
216,2
217,3
220,3
222,0
224,2
225,1
226,3
227,3
228,3
229,3
230,3
231,0
233,3
234,1
235,0
236,3
248,3
251,3
253,3
255,0
256,3
258,3
259,2
260,2
261,3
262,3
263,3
264,3
265,3
266,3
267,1
268,3
270,3
271,0
272,0
273,3
274,3
275,3
276,0
277,0
278,2
281,3
282,0
283,2
286,3
292,2
293,2
294,1
296,1
298,0
299,1
300,2
301,2
302,1
303,2
305,2
306,1
307,2
309,1
310,1
312,1
313,2
314,3
315,2
317,1
318,1
319,3
322,1
323,3
324,1
326,0
327,1
329,3
330,0
331,3
332,1
333,2
334,1
336,2
337,1
338,2
339,2
341,2
342,3
343,1
346,2
347,0
348,1
349,3
351,0
352,3
353,2
356,2
357,1
358,1
360,1
361,3
362,2
363,0
364,3
366,0
367,1
369,1
370,3
373,3
374,1
375,2
376,2
377,1
378,1
379,1
381,2
382,1
383,1
384,0
385,0
386,3
387,3
388,0
389,3
390,3
391,3
392,3
393,3
394,3
395,3
397,2
398,3
400,3
401,2
402,3
404,1
405,3
406,3
407,1
408,3
409,3
410,0
412,0
413,2
414,0
415,3
416,3
417,3
418,2
419,1
422,2
423,0
424,3
425,3
426,0
427,3
428,1
431,2
432,3
434,1
435,2
436,3
441,3
442,2
443,3
444,1
445,3
446,3
447,3
448,2
450,2
451,3
452,3
454,2
455,3
456,3
457,3
459,3
461,0
462,0
463,2
464,3
465,2
466,1
468,0
469,3
471,3
472,1
473,3
474,0
475,3
477,3
478,0
481,1
483,1
485,1
486,1
487,1
488,1
489,1
492,0
493,1
495,3
501,3
504,3
505,3
506,0
509,3
512,1
513,2
514,0
515,2
516,0
517,3
519,1
520,1
523,3
524,1
525,1
526,1
527,1
528,0
529,3
531,2
543,3
544,1
546,3
548,1
550,0
551,3
552,1
553,1
555,0
556,3
557,1
558,1
559,0
560,3
563,1
565,3
568,3
569,1
570,3
571,1
572,2
573,2
575,2
579,1
580,1
582,3
583,0
584,0
585,2
586,0
587,2
588,1
590,1
592,2
594,2
595,2
596,3
597,2
598,3
599,0
600,1
602,2
604,1
605,2
606,1
608,1
610,1
611,0
612,2
613,1
614,1
615,0
616,1
617,3
618,2
619,2
620,2
622,3
626,2
627,3
628,2
629,3
630,1
632,2
633,1
634,3
635,2
636,1
637,0
638,1
639,3
641,1
642,1
643,1
644,2
645,1
646,3
647,2
648,0
649,3
650,3
651,1
652,1
653,1
654,3
656,3
657,1
658,1
659,0
660,3
661,1
662,1
663,1
664,3
665,0
666,3
669,1
670,1
671,2
672,2
674,1
675,1
677,1
679,2
680,0
681,2
682,0
683,1
684,2
685,2
686,1
687,1
688,1
689,1
690,0
691,1
692,3
693,1
694,2
695,3
696,1
697,3
698,3
699,2
700,1
701,0
702,3
703,1
705,1
706,1
708,1
709,3
711,1
712,3
713,1
714,2
716,3
718,0
719,1
720,1
721,1
723,3
728,3
730,3
731,3
732,3
735,1
736,2
737,3
738,3
739,2
740,3
741,3
742,3
750,1
751,1
752,1
754,2
755,0
756,3
758,1
761,1
762,3
763,3
764,2
766,3
767,1
768,1
769,1
770,1
771,3
772,3
773,0
774,0
776,2
779,2
781,3
782,2
785,3
786,3
788,3
789,3
790,0
791,0
792,2
795,3
797,1
798,0
799,1
800,3
801,1
802,1
803,1
804,3
805,1
806,3
807,1
808,2
809,1
810,1
811,0
812,0
814,0
815,0
816,0
817,3
818,2
819,0
820,1
822,0
823,2
825,2
826,0
827,2
829,1
833,0
834,1
835,1
836,2
839,0
840,0
841,0
842,3
843,2
846,2
848,2
850,2
852,1
853,3
854,3
855,0
856,3
857,2
858,2
859,2
862,0
864,3
866,3
867,0
869,0
870,0
872,1
873,3
874,2
875,0
877,2
878,1
879,1
880,2
881,1
882,1
883,1
884,0
885,2
887,1
888,2
890,0
892,0
893,1
894,2
895,1
896,2
898,1
899,3
900,2
901,0
902,0
903,1
904,0
905,1
907,1
908,1
909,3
913,1
914,0
917,0
918,2
919,2
921,1
922,2
923,2
924,2
925,2
926,0
927,0
930,3
931,1
932,0
933,0
934,2
935,1
936,1
937,3
938,1
939,1
940,1
941,0
943,0
944,0
946,3
948,0
949,0
950,1
951,1
953,3
954,3
955,1
956,1
957,0
958,1
959,0
960,2
961,2
962,1
963,3
964,1
966,2
967,0
968,1
969,1
970,1
971,1
972,3
973,0
975,0
976,0
977,3
978,0
979,0
980,1
981,0
984,3
985,0
987,1
988,0
989,0
990,1
991,0
992,1
994,2
995,1
997,1
1000,2
1001,3
1002,3
1003,1
1005,3
1006,1
1007,0
1008,1
1011,0
1014,1
1015,2
1016,0
1017,1
1018,1
1020,1
1021,0
1022,1
1024,0
1025,0
1026,0
1029,2
1030,3
1031,3
1032,2
1033,2
1034,1
1037,0
1038,0
1039,1
1040,2
1041,3
1043,1
1044,0
1045,1
1046,0
1047,1
1049,3
1051,1
1053,3
1054,1
1055,0
1057,3
1058,3
1059,0
1060,0
1062,0
1063,1
1065,1
1067,1
1068,0
1069,0
1070,1
1072,1
1075,2
1076,1
1077,1
1078,2
1079,2
1080,1
1081,1
1082,0
1083,0
1086,0
1087,0
1089,1
1090,1
1092,2
1093,3
1095,0
1096,2
