feature,p_value,max_mean_diff
衰弱快速筛查量表-总分,0.0,1.6400947119179163
肌少症评估-总分,0.0,3.662440570522979
IADL量表-总分,0.0,6.252945797329144
ADL量表-总分,0.0,19.768263943440687
跌倒评估-总分,0.0,41.2609040444092
Fried衰弱表型评估-总分,2.943198275715088e-268,1.2828812663477307
生命质量评估-1）总体来讲，您的健康状况是,1.0402089175118517e-238,2.9465283320031923
弹性评估-总分,1.09080586777494e-229,31.407894736842103
生活行为与社会功能评估-总分,6.57091112329365e-189,1.179099019170026
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,1.1781922847469473e-154,1.7980845969672785
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,3.03710144184701e-148,2.366320830007981
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,3.488382457795195e-88,1.5019952114924182
