feature_raw,feature_en,p_value,max_mean_diff
衰弱快速筛查量表-总分,Frailty screen score,0.0,1.486545849037091
肌少症评估-总分,Sarcopenia score,0.0,3.383899742676373
IADL量表-总分,IADL total,0.0,6.257023439195944
ADL量表-总分,ADL total,0.0,20.487095534736184
跌倒评估-总分,Fall risk score,0.0,37.769644164825515
Fried衰弱表型评估-总分,Fried frailty score,3.908841089457689e-257,1.426329253678315
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,6.258744877802863e-250,1.3008122920952325
弹性评估-总分,Resilience score,2.3184917216976418e-223,10.56856659476469
生活行为与社会功能评估-总分,Social function score,1.2063006641813796e-201,1.3814100269170082
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,1.7436416745233364e-156,1.1188932136726235
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,6.5821528238209915e-146,1.218453891606659
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,1.4652248684725479e-89,0.6640868453837863
